"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind"
"0e","7ad8","","// init NAME_1C, $29
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片。","// init NAME_1C, $29
You want to find your father, don't you?
I'll finish the hull of the spaceship, so go and hunt down the other 7 chips so that we can make this thing fly.","// init NAME_1C, $29
Tu veux retrouver ton père, pas vrai?
Je m'occupe de la coque du vaisseau, et pendant ce temps, tu retrouves les 7 autres puces pour qu'on puisse faire voler l'engin.","// init NAME_1C, $29
Kamu ingin mencari ayahmu, kan?
Saya menyelesaikan lambung pesawat angkasa, sementara kamu mencari 7 chip lainnya supaya pesawat ini bisa terbang.","","","repoint_target"
"0e","7b3a","","// init NAME_1C, $29
巴洛特~
慢著慢著!
先不要急著走。
這個給你!
這是晶片追蹤器
及傳送PDA。
有了它，就可以
知道，
乘餘晶片的所在
位置了!
PDA則是方便
你~
將得到的晶片，
傳輸給我。","// init NAME_1C, $29
Ballot, hold on! Don't leave in such a hurry.
This is for you!
It's a tracker to help you find the circuits, along with a PDA.
With this, you can find out where all the chips are!
The PDA will be convenient as well: you can use it to send the diagrams you find to me.","// init NAME_1C, $29
Ballot, attends! Ne pars pas tout de suite.
Voilà pour toi!
C'est un radar pour t'aider à trouver les puces, et un PDA.
Avec ça, tu pourras savoir où se trouvent toutes les puces!
Et avec le PDA, tu pourras aussi m'envoyer celles que tu trouves.","// init NAME_1C, $29
Ballot, tunggu! Jangan buru-buru.
Ini untuk kamu!
Itu pelacak untuk mencari rangkaian-rangkaian itu, dan sebuah PDA.
Dengan alat-alat ini kamu bisa tahu dimana semua rangkaian berada!
PDA tentunya akan mempermudah juga: bisa kamu pakai untuk mengirim diagram-diagram yang kamu dapatkan.","","","repoint_target"
"0e","7bcb","","// init NAME_BALLOT, $2a
得到了追蹤器!","// init NAME_BALLOT, $2a
Got the Chip Tracker!","// init NAME_BALLOT, $2a
Obtenu Radar Puce!","// init NAME_BALLOT, $2a
Dapat Pelacak Chip!","","","repoint_target"
"0e","7bda","","// init NAME_BALLOT, $2a
得到了PDA!","// init NAME_BALLOT, $2a
Got the PDA!","// init NAME_BALLOT, $2a
Obtenu PDA!","// init NAME_BALLOT, $2a
Dapat PDA!","","","repoint_target"
"0e","7be9","","// init NAME_1C, $29
巴克~
你也跟著巴洛特
吧!
多個人，也好彼
此照應。","// init NAME_1C, $29
Buck, why don't you go with Ballot?
With more people in the party, it'll be safer for him to travel.","// init NAME_1C, $29
Buck, pourquoi n'irais-tu pas avec Ballot?
Ce sera plus sûr pour lui de voyager avec d'autres personnes.","// init NAME_1C, $29
Buck, kenapa kamu tidak pergi saja dengan Ballot?
Dia akan lebih aman berjalan dengan teman.","","","repoint_target"
"0e","7c1d","","// init NAME_BUCK, $01
博士‧巴克‧
巴克⋯","// init NAME_BUCK, $01
ＤＯＣＴＯＲ．．．． ＢＵＣＫ．．． ＢＵＣＫ．．．","// init NAME_BUCK, $01
ＤＯＣＴＥＵＲ．．． ＢＵＣＫ．．． ＢＵＣＫ．．．","// init NAME_BUCK, $01
ＤＯＫＴＯＲ．．． ＢＵＣＫ．．． ＢＵＣＫ．．．","","","repoint_target"
"0e","7c32","","// init NAME_1C, $29
我知道你在想什
麼!
等你回來~
我一定想辦法將
你變得像個人類
好嗎?","// init NAME_1C, $29
I know what you're thinking!
Once you return safely, I'll figure out something to make you more humanlike!
How about that?","// init NAME_1C, $29
Je sais à quoi tu penses!
Une fois que tu reviendras, je trouverai quelque chose pour te rendre plus humain!
Qu'en dis-tu?","// init NAME_1C, $29
Ah, saya tahu yang kamu pikirkan!
Setelah kamu pulang dengan selamat, saya akan memikirkan sesuatu untuk membuatmu lebih seperti manusia!
Bagaimana?","","","repoint_target"
"0e","7c75","","// init NAME_BUCK, $01
博士‧真的?","// init NAME_BUCK, $01
ＤＯＣＴＯＲ．．． ＲＥＡＬＬＹ？","// init NAME_BUCK, $01
ＤＯＣＴＥＵＲ．．． ＶＲＡＩＭＥＮＴ？","// init NAME_BUCK, $01
ＤＯＫＴＯＲ．．． ＢＥＮＡＲＫＡＨ？","","","repoint_target"
"0e","7c82","","// init NAME_1C, $29
就這樣改一改⋯
就是這裡⋯
⋯⋯⋯
OK!
改造完畢!
巴克的新式機械
鳥，
將可搭載巴克，
飛過小型的凹地
!","// init NAME_1C, $29
Just tweak this, and solder that...
OK! The modifications are complete!
Buck, this brand new robot bird is for you!
I've named it Beattro, and it can carry you across small gaps in the road!","// init NAME_1C, $29
Juste changer ci, souder ça...
OK! C'est terminé!
Buck, ce petit oiseau robot tout neuf est pour toi!
Je l'ai appelé Beattro. Il peut te transporter par-dessus les trous dans la route!","// init NAME_1C, $29
Tinggal ubah ini, solder itu...
Oke! Modifikasinya selesai!
Buck, robot burung baru ini untukmu!
Namanya Beattro, dan ia bisa membawamu melintas lubang kecil di jalanan!","","","repoint_target"
"0e","7ce9","","// init NAME_BALLOT, $2a
巴克&機械鳥
加入隊伍!","// init NAME_BALLOT, $2a
Buck and Beattro joined the party!","// init NAME_BALLOT, $2a
Buck et Beattro ont rejoint l'équipe!","// init NAME_BALLOT, $2a
Buck dan Beattro bergabung denganmu!","hmm, shouldn't this have a :vf: text init?","","repoint_target"
"0e","7d01","","// init NAME_18, $2f
星獸‧機械鳥加
入隊伍。
如果將巴克置於
隊伍前頭，
可籍由機械鳥的
力量，
飛越地圖的小型
凹洞。","// init NAME_18, $2f
Star Beast Beattro joined the party. If Buck is leading the party, he can use Beattro's power to cross small holes in the ground.","// init NAME_18, $2f
Beattro la Bêtoile a rejoint l'équipe. Si Buck est en tête de l'équipe, il peut utiliser Beattro pour traverser les trous sur le chemin.","// init NAME_18, $2f
Makhluk Bintang Beattro bergabung. Jika Buck sedang di depan, dia bisa menggunakan kemampuan Beattro untuk melintasi lubang kecil.","TM get!","oh wait, here it is","repoint_target"
"0e","7d5d","","// init NAME_1C, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。","// init NAME_1C, $29
Go on! You can start at GaleCorp, and find the other 7 circuits from there.","// init NAME_1C, $29
Allez-y! Vous pouvez commencer par Gale Corp., et trouver les 7 autres puces à partir de là.","// init NAME_1C, $29
Bergeraklah! Kamu bisa mulai di PT. Gale, dan dari sana carilah 7 rangkaian lainnya.","","","repoint_target"
"0e","7d8b","","// init NAME_1C, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。","// init NAME_1C, $29
Go on! You can start at GaleCorp, and find the other 7 circuits from there.","// init NAME_1C, $29
Allez-y! Vous pouvez commencer par Gale Corp., et trouver les 7 autres puces à partir de là.","// init NAME_1C, $29
Bergeraklah! Kamu bisa mulai di PT. Gale, dan dari sana carilah 7 rangkaian lainnya.",":vf:","","repoint_target"
"0e","7db9","","// init NAME_BALLOT, $2b
這個洞⋯
該怎麼通過呢?","// init NAME_BALLOT, $2b
This hole... How will we cross it?","// init NAME_BALLOT, $2b
Ce trou... Comment le traverser?","// init NAME_BALLOT, $2b
Lubang ini... bagaimana kita melewatinya?","","","repoint_target"
"0e","7dd1","","// init NAME_BUCK, $01
巴洛特‧巴克‧
換‧在排頭。
機械鳥‧飛‧地
洞。","// init NAME_BUCK, $01
ＢＡＬＬＯＴ！ ＬＥＴ ＢＵＣＫ ＬＥＡＤ． ＢＥＡＴＴＲＯ ＣＡＮ ＦＬＹ ＯＶＥＲ ＨＯＬＥＳ．","// init NAME_BUCK, $01
ＢＡＬＬＯＴ！
ＬＡＩＳＳＥ ＢＵＣＫ ＭＥＮＥＲ． ＢＥＡＴＴＲＯ ＰＥＵＴ ＶＯＬＥＲ ＰＡＲ－ＤＥＳＳＵＳ ＴＲＯＵＳ．","// init NAME_BUCK, $01
ＢＡＬＬＯＴ！ ＢＩＡＲ ＢＵＣＫ ＳＡＪＡ ＹＡＮＧ ＰＩＭＰＩＮ． ＢＥＡＴＴＲＯ ＢＩＳＡ ＭＥＬＩＮＴＡＳＩ ＬＵＢＡＮＧ．","","","repoint_target"
"0e","7dff","","// init NAME_BALLOT, $00
不行~
我們去找伊隼人
問天才機械發明
家的事情⋯⋯","// init NAME_BALLOT, $00
No! I better ask Hayato about the genius mechanical inventor first...","// init NAME_BALLOT, $00
Non! Je ferais mieux d'interroger Hayato sur le mécanicien de génie d'abord...","// init NAME_BALLOT, $00
Tidak! Aku harus tanya Hayato tentang penemu genius itu...","why is this here hmmm","","repoint_target"
"0e","7e33","","// init NAME_1C, $29
如果沒有水晶村
的彩虹水晶的話
一定贏不了的。","// init NAME_1C, $29
Without the Rainbow Crystal, I'll never win...","// init NAME_1C, $29
Sans le Cristal Prismatique, on ne gagnera jamais...","// init NAME_1C, $29
Tanpa Kristal Pelangi itu, saya takkan menang...","","","repoint_target"
"0e","7e60","","// init NAME_BALLOT, $00
來吧!","// init NAME_BALLOT, $00
Come on!","// init NAME_BALLOT, $00
Allez!","// init NAME_BALLOT, $00
Ayo!","","","repoint_target"
"0e","6550","","// init NAME_BLANK, $1b
聽說科技城的
雷歐，
和閃電隊賽車輸
了三千萬!
這種結果是一定
的。
因為彩虹水晶停
産了，
一定做不出好的
賽車的。","// init NAME_BLANK, $1b
I heard that Dr. Leo of Tech City lost 30 million yen racing against the Volts!
It was inevitable; since the Rainbow Crystal was discontinued, he doesn't have the parts to make good racing cars.","// init NAME_BLANK, $1b
J'ai entendu que le Dr. Léo a perdu 30 millions de ¥ lors d'une course contre la Team Volt!
C'était à prévoir... Vu qu'il n'y a plus de Cristaux Prismatiques, il n'avait aucun moyen de se procurer les pièces pour faire une bonne voiture.","// init NAME_BLANK, $1b
Aku mendengar Dr. Leo dari Kota Tekno kalah 30 juta yen membalap para Volt itu!
Itu sudah pasti; sejak Kristal Pelangi berhenti produksi, beliau tidak punya suku cadang yang baik untuk membuat mobil balap.","","","repoint_target"
"0e","65b8","","// init NAME_BLANK, $1e
爸爸的口袋裡，
有一顆七彩的水
晶耶!","// init NAME_BLANK, $1e
There's a colorful crystal in my dad's pocket!","// init NAME_BLANK, $1e
Il y a un cristal multicolore dans la poche de papa!","// init NAME_BLANK, $1e
Ada kristal penuh warna di kantong bapakku!","tweaked the sentence to flow better - Waddle","","repoint_target"
"0e","65de","","// init NAME_BUCK, $01
水晶?
給巴克‧雷歐博
士‧要!","// init NAME_BUCK, $01
Ａ ＣＲＹＳＴＡＬ？ ＧＩＶＥ ＩＴ ＴＯ ＢＵＣＫ！ ＤＲ． ＬＥＯ ＮＥＥＤＳ ＩＴ！","// init NAME_BUCK, $01
ＣＲＩＳＴＡＬ？
ＤＯＮＮＥ Ａ ＢＵＣＫ！ ＤＲ． ＬＥＯ Ａ ＢＥＳＯＩＮ！","// init NAME_BUCK, $01
ＫＲＩＳＴＡＬ？ ＢＥＲＩＫＡＮ ＫＥ ＢＵＣＫ！ ＤＲ．ＬＥＯ ＢＵＴＵＨ ＩＴＵ！","r o b o t","","repoint_target"
"0e","65fc","","// init NAME_BLANK, $1e
不~要!","// init NAME_BLANK, $1e
No!","// init NAME_BLANK, $1e
Non!","// init NAME_BLANK, $1e
Tidak!","","","repoint_target"
"0e","6607","","// init NAME_BLANK, $20
站住!
這裡是閃電隊的
地盤，快走!","// init NAME_BLANK, $20
Get out!
This place is the Volts' turf!","// init NAME_BLANK, $20
Dégage!
Ce coin appartient aux Volt!","// init NAME_BLANK, $20
Keluar!
Ini daerah Tim Volt!","","team name mentioned here","repoint_target"
"0e","662c","","// init NAME_BALLOT, $2d
壁櫥裡有個洞!
打開了!!","// init NAME_BALLOT, $2d
There's a doorway in the closet! It's open!","// init NAME_BALLOT, $2d
Il y a un passage dans l'armoire!
La porte s'ouvre!","// init NAME_BALLOT, $2d
Ada pintu di dalam kloset! Pintunya terbuka!","","","repoint_target"
"0e","6647","","// init NAME_20, $30
輸、入、密、碼
?","// init NAME_20, $30
ＡＵＴＨＯＲＩＺＡＴＩＯＮ ＮＥＥＤＥＤ． ＰＡＳＳＷＯＲＤ， ＰＬＥＡＳＥ．","// init NAME_20, $30
ＡＵＴＯＲＩＳＡＴＩＯＮ ＮＥＣＥＳＳＡＩＲＥ．
ＶＥＵＩＬＬＥＺ ＥＮＴＲＥＲ ＬＥ ＭＯＴ ＤＥ ＰＡＳＳＥ．","// init NAME_20, $30
ＷＡＪＩＢ ＯＴＯＲＩＳＡＳＩ． ＭＯＨＯＮ ＫＡＴＡ ＳＡＮＤＩＮＹＡ．","","","repoint_target"
"0e","665b","","// init NAME_BUCK, $01
巴洛特‧巴克‧
試試。
巴克‧要‧隊伍
‧前頭。","// init NAME_BUCK, $01
ＢＡＬＬＯＴ． ＢＵＣＫ ＷＡＮＴＳ ＴＯ ＴＲＹ．
ＢＵＣＫ ＷＩＬＬ ＬＥＡＤ ＴＨＥ ＷＡＹ．","// init NAME_BUCK, $01
ＢＡＬＬＯＴ， ＢＵＣＫ ＶＡ ＥＳＳＡＹＥＲ．
ＬＡＩＳＳＥ ＢＵＣＫ ＭＥＮＥＲ．","// init NAME_BUCK, $01
ＢＡＬＬＯＴ． ＢＵＣＫ ＩＮＧＩＮ ＣＯＢＡ．
ＢＵＣＫ ＡＫＡＮ ＰＩＭＰＩＮ．","
placing buck at the top of the party list?","","repoint_target"
"0e","6689","","// init NAME_BALLOT, $2d
壁櫥裡有個洞!
打開了!!","// init NAME_BALLOT, $2d
There's a doorway in the closet! It's open!","// init NAME_BALLOT, $2d
Il y a un passage dans l'armoire!
La porte s'ouvre!","// init NAME_BALLOT, $2d
Ada pintu di dalam kloset! Pintunya terbuka!","same as 0e:662c","","repoint_target"
"0e","66a4","","// init NAME_20, $30
輸、入、密、碼
?","// init NAME_20, $30
ＡＵＴＨＯＲＩＺＡＴＩＯＮ ＮＥＥＤＥＤ． ＰＡＳＳＷＯＲＤ， ＰＬＥＡＳＥ．","// init NAME_20, $30
ＡＵＴＯＲＩＳＡＴＩＯＮ ＮＥＣＥＳＳＡＩＲＥ．
ＶＥＵＩＬＬＥＺ ＥＮＴＲＥＲ ＬＥ ＭＯＴ ＤＥ ＰＡＳＳＥ．","// init NAME_20, $30
ＷＡＪＩＢ ＯＴＯＲＩＳＡＳＩ． ＭＯＨＯＮ ＫＡＴＡ ＳＡＮＤＩＮＹＡ．","same as 0e:6647","","repoint_target"
"0e","66b8","","// init NAME_BUCK, $01
巴克‧解碼。
¢2#×°£
MKC-+3
密碼:
97‧35","// init NAME_BUCK, $01
ＢＵＣＫ ＷＩＬＬ ＴＲＹ ＤＥＣＯＤＩＮＧ ＴＨＥ ＰＡＳＳＷＯＲＤ．
．．．
ＰＡＳＳＷＯＲＤ ＩＳ ９７３５","// init NAME_BUCK, $01
ＢＵＣＫ ＶＡ ＤＥＣＯＤＥＲ ＭＯＴ ＤＥ ＰＡＳＳＥ．
．．．
ＭＯＴ ＤＥ ＰＡＳＳＥ： ９７３５","// init NAME_BUCK, $01
ＢＵＣＫ ＣＯＢＡ ＰＥＣＡＨＫＡＮ ＫＡＴＡ ＳＡＮＤＩＮＹＡ．
．．．
ＫＡＴＡ ＳＡＮＤＩ
ＡＤＡＬＡＨ
９７３５","might need to adjust the ""decoding"" part since it messes up the game when i converted this","","repoint_target"
"0e","66eb","","// init NAME_20, $30
正確~正確。","// init NAME_20, $30
ＡＣＣＥＳＳ ＧＲＡＮＴＥＤ．","// init NAME_20, $30
ＡＣＣＥＳ ＡＵＴＯＲＩＳＥ．","// init NAME_20, $30
ＡＫＳＥＳ ＤＩＢＥＲＩＫＡＮ．","","","repoint_target"
"0e","66fa","","// init NAME_22, $32
你們是誰?
侵入祕密基地的
傢伙，
要給你們一點教
訓!","// init NAME_22, $32
Who are you?
How dare you invade our secret base!
We'll teach you a lesson!","// init NAME_22, $32
Qui es-tu? 
Comment oses-tu t'infiltrer dans notre base secrète!
Je vais te donner une bonne leçon!","// init NAME_22, $32
Siapa kamu?
Berani-beraninya kamu menyusup ke dalam markas rahasia kami!
Akan kami berikan pelajaran!","","","repoint_target"
"0e","672d","","// init NAME_22, $32
可惡!
這裡失守了嗎?
雖然對不起頭目
及大姐頭，
但還是徹退吧!","// init NAME_22, $32
Damn it! We've been found out!
I'm sorry, chief and big sis, but we need to retreat!","// init NAME_22, $32
Bon sang! On est découverts!
Désolé chef, désolé m'dame, mais va falloir fuir!","// init NAME_22, $32
Sial! Kita ketahuan!
Maafkan aku, bos, tapi kita harus kabur!","","","repoint_target"
"0e","676a","","// init NAME_22, $32
不行~
得趕快徹退才行
!","// init NAME_22, $32
No! We need to get out of here!","// init NAME_22, $32
Non! Il faut sortir d'ici!","// init NAME_22, $32
Tidak! Kita harus keluar!","","","repoint_target"
"0e","6784","","// init NAME_22, $32
你們是誰?
讓開!
不要擋住我徹退
的路!","// init NAME_22, $32
Who are you? Get out of the way! 
You won't stop me from retreating!","// init NAME_22, $32
Qui es-tu? Dégage de là!
Tu m'empêcheras pas de fuir!","// init NAME_22, $32
Siapa kamu? Minggir!
Kamu tak akan mencegah kita kabur!","","","repoint_target"
"0e","67ae","","// init NAME_22, $32
可惡!
雖然被打敗了，
但你還是阻止不
了我的徹退的!","// init NAME_22, $32
Damn it! I've been beaten! But you're still no match my retreating skills!","// init NAME_22, $32
Bon sang, j'ai été vaincu!
Mais tu ne peux rien face à mes capacités de fuite!","// init NAME_22, $32
Sialan, dikalahkan! Tapi kamu tak bisa menandingi kemampuan kami untuk...
KABUR!","","","repoint_target"
"0e","67e0","","// init NAME_BALLOT, $00
這一定就是彩虹
水晶了!
雷歐博士有了這
個，
一定就可以打敗
閃電隊了!","// init NAME_BALLOT, $00
This must be the Rainbow Crystal! With this, Dr. Leo will be able to defeat the Volts!","// init NAME_BALLOT, $00
Ca doit être le Cristal Prismatique!
Avec ça, le Dr. Léo devrait pouvoir vaincre les Volt!","// init NAME_BALLOT, $00
Ini pasti Kristal Pelangi! Dengan ini, Dr. Leo akan bisa mengalahkan para Volt itu!","","","repoint_target"
"0e","6821","","// init NAME_BALLOT, $2a
得到彩虹水晶。","// init NAME_BALLOT, $2a
Got the Rainbow Crystal!","// init NAME_BALLOT, $2a
Obtenu Cristal Prismatique!","// init NAME_BALLOT, $2a
Dapat Kristal Pelangi!","","","repoint_target"
"0e","6832","","// init NAME_BLANK, $12
閃電集團莫名奇
妙的跑光了!
又可以恢復工作
了。
從來不曉得，
有工作的感覺是
這麼美妙!","// init NAME_BLANK, $12
Those Volt guys ran for the hills!
We've all gotten our jobs back. I've never been this happy to go to work!","// init NAME_BLANK, $12
La Team Volt a pris ses jambes à son cou!
On a tous récupéré nos postes. Je n'ai jamais été aussi heureux d'aller travailler!","// init NAME_BLANK, $12
Volt-Volt itu kabur semua!
Kita bisa bekerja kembali. Tak pernah saya sebahagia ini untuk kembali kerja!","","","repoint_target"
"0e","6882","","// init NAME_BLANK, $14
霸佔水晶礦坑的
閃電集團消失了
這真是個天大的
好消息。","// init NAME_BLANK, $14
Good news! Those volty guys occupying the mine have disappeared!","// init NAME_BLANK, $14
Ces gens de la Team Volt qui bloquaient l'accès aux mines ont disparu.
Pfiou!","// init NAME_BLANK, $14
Kabar gembira! Penjahat Volt yang menduduki tambang itu sudah hilang!","","","repoint_target"
"0e","68b3","","// init NAME_BLANK, $19
前幾天經過科技
城的發電塔，
結果發現了一隻
好大的貓怪!
真是可怕!","// init NAME_BLANK, $19
A few days ago, while walking past Tech City's power plant, there was a giant cat monster! I ran for my life!","// init NAME_BLANK, $19
Il y a quelques jours, je suis passé devant la centrale de Technoville, et il y avait un énorme monstre-chat!
J'ai eu si peur, j'ai pris mes jambes à mon cou!","// init NAME_BLANK, $19
Beberapa hari lalu, ketika melewati gedung pembangkit Kota Tekno, ada kucing besar! Aku lari ketakutan!","","","repoint_target"
"0e","68f4","","// init NAME_BLANK, $15
哈哈哈~
老公又有工作了
!
煮頓超豪華料理
吧!","// init NAME_BLANK, $15
Hahahaha, my hubby has a job again!
I'll go whip up a deluxe meal!","// init NAME_BLANK, $15
Hahahaha, mon mari peut retourner au travail!
Je vais pouvoir lui faire un super-méga- déjeuner!","// init NAME_BLANK, $15
Hahahaha, suamiku bekerja lagi!
Aku masak makanan mewah untuknya!","","","repoint_target"
"0e","6923","","// init NAME_BLANK, $1e
爸爸的口袋裡，
有一顆七彩的水
晶耶!
這是我的寶藏，
才不要給任何人
!","// init NAME_BLANK, $1e
There's a colourful crystal in my dad's pocket!
I'll never give this treasure to anyone!","// init NAME_BLANK, $1e
Il y a un cristal multicolore dans la poche de papa!
Je le donnerai à personne, c'est un trésor!","// init NAME_BLANK, $1e
Ada kristal penuh warna di kantong bapakku!
Aku tak akan memberinya ke orang!","","","repoint_target"
"0e","6967","","// init NAME_1C, $29
這不是彩虹水晶
嗎?
真是太好了!
等等~
這就把黃金鳳凰
號的核心換掉。","// init NAME_1C, $29
Isn't this a rainbow crystal? That's great!
Now I can make a new core for the Golden Phoenix!","// init NAME_1C, $29
Ne serait-ce pas un Cristal Prismatique?
Super!
Avec ça, je peux faire un nouveau noyau pour le Phénix d'Or!","// init NAME_1C, $29
Bukankah ini Kristal Pelangi? Bagus!
Saya bisa membuat inti baru untuk Garuda Emas!","","","repoint_target"
"0e","69a6","","// init NAME_1C, $29
⋯⋯⋯","// init NAME_1C, $29
...","// init NAME_1C, $29
...","// init NAME_1C, $29
...","","","repoint_target"
"0e","69ae","","// init NAME_1C, $29
⋯⋯⋯","// init NAME_1C, $29
...","// init NAME_1C, $29
...","// init NAME_1C, $29
...","","","repoint_target"
"0e","69b6","","// init NAME_1C, $29
完成了!
真‧黃金鳳凰號
!
有了這個，
就一定可以打敗
閃電隊了!","// init NAME_1C, $29
It's done!
The True Golden Phoenix!
With this, I can definitely defeat the Volts!","// init NAME_1C, $29
Et voilà!
Le Super Phénix d'Or!
Avec ça, on va pouvoir vaincre les Volt à coup sûr!","// init NAME_1C, $29
Selesai!
Garuda Emas Sejati!
Dengan ini saya akhirnya bisa kalahkan para Volt!","this is definitely leo speaking lol","","repoint_target"
"0e","69ef","","// init NAME_BALLOT, $00
嗯，一定可以的
。","// init NAME_BALLOT, $00
Sure you can...","// init NAME_BALLOT, $00
Ouais, probablement.","// init NAME_BALLOT, $00
Itu benar...","","","repoint_target"
"0e","6a00","","// init NAME_1C, $29
⋯⋯⋯
有了上次輸了的
陰影⋯
我還是不敢⋯⋯
你就拿我的~
真‧黃金鳳凰號
和閃電隊比賽吧
⋯⋯","// init NAME_1C, $29
...
The shadow of my former loss still haunts me.
I don't dare to try again, so will you take the True Golden Phoenix and go in my stead to battle Team Volt?","// init NAME_1C, $29
...
Ma précédente défaite me hante encore.
Je n'ose pas tenter le défi à nouveau... Prends mon Super Phénix d'Or, et va affronter la Team Volt à ma place, d'accord?","// init NAME_1C, $29
...
Bayang-bayang kekalahanku yang sebelumnya, masih menghantuiku.
Saya tak berani coba lagi, jadi maukah kamu mengendalikan Garuda Emas Sejati dan menggantikanku melawan Tim Volt?","","","repoint_target"
"0e","6a52","","// init NAME_BALLOT, $2a
得到鳳凰號!","// init NAME_BALLOT, $2a
Got the Phoenix!","// init NAME_BALLOT, $2a
Obtenu Phénix!","// init NAME_BALLOT, $2a
Dapat Garuda!","","","repoint_target"
"0e","6a61","","// init NAME_1C, $29
⋯⋯⋯
有了上次輸了的
陰影⋯
我還是不敢⋯⋯
你就拿我的~
真‧黃金鳳凰號
和閃電隊比賽吧
⋯⋯","// init NAME_1C, $29
...
The shadow of my former loss still haunts me.
I don't dare to try again, so will you take the True Golden Phoenix and go in my stead to battle Team Volt?","// init NAME_1C, $29
...
Ma précédente défaite me hante encore.
Je n'ose pas tenter le défi à nouveau... Prends mon Super Phénix d'Or, et va affronter la Team Volt à ma place, d'accord?","// init NAME_1C, $29
...
Bayang-bayang kekalahanku yang sebelumnya, masih menghantuiku.
Saya tak berani coba lagi, jadi maukah kamu mengendalikan Garuda Emas Sejati dan menggantikanku melawan Tim Volt?","same as 0e:6a00","","repoint_target"
"0e","6ab3","","// init NAME_1E, $27
峨~呵呵呵~
你們終於來了。","// init NAME_1E, $27
Haha! So you finally came!","// init NAME_1E, $27
Ohohohoho!
Te voilà enfin!","// init NAME_1E, $27
Haha! Akhirnya kamu datang juga!","","","repoint_target"
"0e","6acf","","// init NAME_1F, $28
在下還以為，
你們夾著尾巴逃
走了!
即使沒有勝算，
還是要比嗎?","// init NAME_1F, $28
We thought you'd turned tail and fled!
Do you still want to battle us, knowing you don't stand a chance?","// init NAME_1F, $28
On pensait que vous aviez tous fui!
Comptes-tu vraiment nous affronter, sachant que tu n'as aucune chance de gagner?","// init NAME_1F, $28
Kami kira kamu kabur lontang-lantung!
Masih beranikah melawan kami, meski tahu kamu takkan menang?","","no more deepl, :gohome:","repoint_target"
"0e","6b0b","","// init NAME_1E, $27
峨峨峨峨~
呵呵呵呵!
三千萬就要到手
了!
夢想就要實現了
!","// init NAME_1E, $27
Ehehehehehe!
I can almost feel the crisp 30 million yen in my hands!
It's a dream come true!","// init NAME_1E, $27
Ohohéhéhé!
Je peux presque sentir ces 30 millions de ¥ dans mes mains!
Notre rêve va se réaliser!","// init NAME_1E, $27
Ehehehehehe!
Aku hampir bisa merasakan 30 juta yen gemilang ditanganku!
Sungguh impian yang nyata!","","","repoint_target"
"0e","6b3f","","// init NAME_1F, $28
還是不甘心敗在
在下的手中嗎?
反正再幾次都一
樣。","// init NAME_1F, $28
Still not content to quit and save the effort?
This won't change anything, you know!","// init NAME_1F, $28
Tu ne comptes toujours pas abandonner? Ca t'épargnerait l'effort, retenter de changera rien!","// init NAME_1F, $28
Masih tak mau putus asa, menghemat tenaga?
Ini takkan mengubah apa-apa, tahu!","","","repoint_target"
"0e","6b6f","","// init NAME_1E, $27
峨~呵呵呵~
我就展現高貴的
耐心，
再給你們一次機
會吧!","// init NAME_1E, $27
Ehehehe~ I'm not usually this patient, but just this once, I'll give you another chance!","// init NAME_1E, $27
Hi hi hi...
Je ne suis généralement pas si patiente, mais pour cette fois, je te donne une nouvelle chance!","// init NAME_1E, $27
Ehehehe~ Tidak biasanya aku sesabar ini, tapi sekali saja, aku berikan kamu kesempatan sekali lagi!","racing game START!","@zumi start adding name markers here","repoint_target"
"0e","6ba5","","// init NAME_1F, $28
在下⋯輸了?
不⋯不可能!","// init NAME_1F, $28
We... We lost?! Impossible!","// init NAME_1F, $28
On... On a perdu?! Impossible!","// init NAME_1F, $28
Kami... kami kalah?! Mustahil!","","","repoint_target"
"0e","6bbd","","// init NAME_BLANK, $1b
萬歲!
雷歐的鳳凰號果
然贏了!
我早就說過，
雷歐才是最厲害
的發明家!","// init NAME_BLANK, $1b
Hooray! Those dastardly Volts have lost!
I knew it all along: Dr Leo is the best inventor in the world!","// init NAME_BLANK, $1b
Hourra! Ces méchants Volt ont perdu!
Je le savais! Je le savais que le Dr. Léo était le meilleur inventeur du monde!","// init NAME_BLANK, $1b
Hore! Volt pengecut itu kalah!
Benar selama ini: Dr. Leo penemu terhebat di dunia!","","","repoint_target"
"0e","6c02","","// init NAME_BALLOT, $00
哈哈哈~
那三千萬的賭金
，
就這麼算了吧!","// init NAME_BALLOT, $00
Hahaha! You won't have to worry about that 30 million yen anymore!","// init NAME_BALLOT, $00
Hahaha! Vous n'avez plus à vous en faire pour les 30 millions de ¥!","// init NAME_BALLOT, $00
Hahaha! Kalian tak perlu khawatir tentang 30 juta yen itu lagi!","","","repoint_target"
