"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"0e","733f","","// init NAME_23, $17
嗚峨嗚~嗚~","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","734f","","// init NAME_BALLOT, $00
大权?怎麼了?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","735f","","// init NAME_23, $17
真是感謝。
科技城停電後，
我就趕來詢視情
況。
沒想到被閃電隊
給綁了起來!
真是感謝你!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","73b0","","// init NAME_1E, $27
峨~呵呵呵!
有了三千萬，
我們的夢想就⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","73d4","","// init NAME_1F, $28
跟在下想的，
一點都沒錯。
這樣一來⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","73f9","","// init NAME_1E, $27
你你⋯你⋯你
⋯你怎麼來的?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","740e","","// init NAME_1F, $28
可惡!
你是來破壞在下
的夢想的嗎?
就讓你們來點愛
的教育吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","744b","","// init NAME_1E, $27
可可⋯可
⋯可惡!
你⋯你你⋯們給
我⋯記⋯記住!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7478","","// init NAME_1F, $28
這次在下就放了
你!
要記住在下的恩
惠!
在下是代表了~
愛、正義、勇氣
的閃電隊!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","74c4","","// init NAME_BALLOT, $00
真是⋯⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","74cf","","// init NAME_BALLOT, $00
這個開關是⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","74de","","// init NAME_BLANK, $1f
啊!
電力又回復了?
第一次覺得，
光明是這麼的幸
福。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7511","","// init NAME_BLANK, $1b
原來電力塔早就
被閃電隊佔領了
這次能回復電力
，
真是感謝你及雷
歐。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7550","","// init NAME_BLANK, $16
好⋯好刺眼⋯⋯
眼晴好不容易習
慣了黑暗，
對於這麼亮的燈
光，
真有點吃不消⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7597","","// init NAME_BLANK, $19
果然需要雷歐出
馬，
才能打敗閃電隊
。
雷歐博士是最棒
的機械發明家。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","75d8","","// init NAME_BLANK, $17
你聽過加爾企業
嗎?
那可是二大知名
企業之一啊!
加爾企業及邦林
企業，
都是數一數二的
大企業喲。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","762c","","// init NAME_BLANK, $21
嗚~嗚~
電燈又亮了，
人家又要上學了
!
嗚~~嗚~","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","765d","","// init NAME_BLANK, $16
這裡是科技城的
廢鐵集中場。
別看這些破破爛
爛的東西，
這些全是我的寶
貝!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","76a3","","// init NAME_BLANK, $12
前陣子的流星雨
，
打壞了通往多魯
市的道路。
這該怎麼辦呢?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","76dc","","// init NAME_BLANK, $16
就是你救了博特
嗎?
實在是非常的感
謝!
這個就送給你了
，
真是相當的感謝
。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7723","","// init NAME_BLANK, $16
真是相當的感謝
。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7736","","// init NAME_23, $17
非常的感謝您。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7746","","// init NAME_19, $22
電力又回復了，
一大堆帳要補登
記⋯
忙死了⋯⋯
需要什麼服務嗎
?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7781","","// init NAME_1B, $4c
博士終於做好了
反重力裝置了!
身為加爾企業採
購部經理的我，
終於可以回去參
加重要的會議了","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","77d3","","// init NAME_1C, $29
啊啊啊啊啊!!
巴洛特啊!
你來的剛剛好!
了不起的大發現
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7809","","// init NAME_BALLOT, $00
了不起的發現?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","781b","","// init NAME_1C, $29
我看了你的設計
圖，
這可是不得了的
東西喲!
這可是一台超越
想像的太空船!
太‧空‧船‧峨
!
你為什麼會有這
張設計圖?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","788a","","// init NAME_BALLOT, $2b
這是爸爸唯一留
下的東西⋯⋯
我一直在想，
如照著爸爸的
目標走，
一定可以相遇的
。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","78d6","","// init NAME_1C, $29
是這樣啊!
⋯⋯⋯⋯這是什
麼?
設計圖的『核』
，
怎麼有八個空白
的部份?
⋯⋯⋯
慢著⋯或許⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","792c","","// init NAME_1C, $29
就是這個!
『動力晶片』!
這是核心
的
一部份!
就我所知，
這晶片共有八
個，
分別由八個科學
家保管。
喂喂~巴洛特!
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片，
好嗎?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7a00","","// init NAME_BALLOT, $2d
動力晶片?
爸爸一定也想解
開這個謎團。
好的!
雷歐博士~
我答應你。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7a3f","","// init NAME_1B, $4c
這個晶片?
我好像在董事長
那裡，
看過類似的東西
。
但董事長發生了
一件令人難過的
事情⋯
一言難盡⋯⋯
巴洛特要是來到
加爾企業，
我再幫你引見董
事長。
各位，再見了。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7ad8","","// init NAME_1C, $29
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7b3a","","// init NAME_1C, $29
巴洛特~
慢著慢著!
先不要急著走。
這個給你!
這是晶片追蹤器
及傳送PDA。
有了它，就可以
知道，
乘餘晶片的所在
位置了!
PDA則是方便
你~
將得到的晶片，
傳輸給我。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7bcb","","// init NAME_BALLOT, $2a
得到了追蹤器!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7bda","","// init NAME_BALLOT, $2a
得到了PDA!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7be9","","// init NAME_1C, $29
巴克~
你也跟著巴洛特
吧!
多個人，也好彼
此照應。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7c1d","","// init NAME_BUCK, $01
博士‧巴克‧
巴克⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7c32","","// init NAME_1C, $29
我知道你在想什
麼!
等你回來~
我一定想辦法將
你變得像個人類
好嗎?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7c75","","// init NAME_BUCK, $01
博士‧真的?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7c82","","// init NAME_1C, $29
就這樣改一改⋯
就是這裡⋯
⋯⋯⋯
OK!
改造完畢!
巴克的新式機械
鳥，
將可搭載巴克，
飛過小型的凹地
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7ce9","","// init NAME_BALLOT, $2a
巴克&機械鳥
加入隊伍!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7d01","","// init NAME_18, $2f
星獸‧機械鳥加
入隊伍。
如果將巴克置於
隊伍前頭，
可籍由機械鳥的
力量，
飛越地圖的小型
凹洞。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7d5d","","// init NAME_1C, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7d8b","","// init NAME_1C, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7db9","","// init NAME_BALLOT, $2b
這個洞⋯
該怎麼通過呢?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7dd1","","// init NAME_BUCK, $01
巴洛特‧巴克‧
換‧在排頭。
機械鳥‧飛‧地
洞。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7dff","","// init NAME_BALLOT, $00
不行~
我們去找伊隼人
問天才機械發明
家的事情⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7e33","","// init NAME_1C, $29
如果沒有水晶村
的彩虹水晶的話
一定贏不了的。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7e60","","// init NAME_BALLOT, $00
來吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
