"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","text_kind","","","","","",""
"0e","584c","","// init NAME_BLANK, $19
雷歐博士已經上
了年紀，
又沒有小孩子。
所以製造了一隻
叫巴克的機器人
是我的錯覺嗎?
每次一看到巴克
，
就覺得他很憂鬱
⋯⋯","// init NAME_BLANK, $19
Dr. Leo is aging, yet he has no children.
So, he built a robot named Buck.
Is it just me, or is it that every time I see Buck, I get the feeling that he is somewhat depressed...","// init NAME_BLANK, $19
Le Dr. Léo se fait vieux, mais il n'a pas d'enfants.
Donc il a construit un robot nommé Buck.
C'est peut-être que moi, mais à chaque fois que je vois Buck, j'ai l'impression qu'il est déprimé...","// init NAME_BLANK, $19
Dr. Leo makin menua, namun beliau masih belum memiliki anak.
Jadi, beliau membangun robot bernama Buck.
Mungkin hanya perasaanku, tapi setiap kali saya melihat Buck, saya merasa beliau sedikit depresi...","deepl screwed up the object/subject of some sentences again","","","","","","",""
"0e","58bd","","// init NAME_BLANK, $16
科技城是座窒內
都市，
照明的設備都需
要電力來驅動。
可是，
為了要防止類似
這種形情發生，
電力塔內設有特
殊防範措施啊!
真是奇怪⋯","// init NAME_BLANK, $16
Tech City is an enclosed town, and all our lights are electric lights.
But there are special precautions in the power station to prevent situations like this from happening!
How odd...","// init NAME_BLANK, $16
Technoville est une ville couverte, et toutes nos lumières sont artificielles.
Mais on a des précautions à la centrale pour éviter des cas comme ça!
C'est très bizarre...","// init NAME_BLANK, $16
Kota Tekno ini tertutup, dan semua lampu di sini adalah lampu listrik.
Tapi ada aturan-aturan khusus di gedung pembangkit listrik untuk mencegah situasi seperti ini terjadi!
Sungguh aneh...","","","","","","","",""
"0e","592f","","// init NAME_BLANK, $12
雷歐代表科技城
和閃電隊賽車，
輸了三千萬!
為了籌這三千萬
，
真是急死人了!
早知道就不應該
派雷歐上場的⋯","// init NAME_BLANK, $12
Leo lost ¥30 million racing against Team Volt on behalf of Tech City!
Now I have no idea where to get the ¥30 million from!
I should have known better than to send Dr. Leo out in the field...","// init NAME_BLANK, $12
Léo à perdu 30 millions de ¥ lors de la course entre Technoville et la Team Volt!
Où est-ce qu'on va trouvé ces 30 millions, maintenant?!
On aurait dû savoir qu'il ne fallait pas envoyer le Dr. Léo...","// init NAME_BLANK, $12
Leo kalah ¥30 juta balapan melawan Tim Volt mewakili Kota Tekno!
Aku tidak tahu dari mana kita harus mendapatkan ¥30 juta!
Seharusnya aku lakukan yang lain daripada mengirim Dr. Leo melawan mereka...","deepl","","","","","","",""
"0e","5992","","// init NAME_BLANK, $1d
哼!
小毛用他的長腳
龜一號欺負人家
人家才不要!!
爸爸~
好不好啦~
爸爸~
幫人家改裝這台
粉紅豬三號啦!","// init NAME_BLANK, $1d
Hmph! Hairy's been bullying people with Tourtega Mk.I!
Dad, please help me modify Pippo Mk.III to stop him!","// init NAME_BLANK, $1d
Hmpf! Hairy embête tout le monde avec Totortue Mk.I! 
Papa, aide-moi à améliorer Pippo Mk.III pour le remettre à sa place!","// init NAME_BLANK, $1d
Hmph! Hairy membuli orang dengan Tortega Mk.I!
Ayah! Tolong bantu aku modifikasi Pipo Mk.III agar dia berhenti!","
小毛 is just ""Hairy"" then","","i love these car names but they should've been trains","","","","",""
"0e","59f6","","// init NAME_BLANK, $13
要大家湊這三千
萬，
真是開玩笑!
把這個藏起來~
荳荳!
那個也是!
呀!!
你看到了什麼嗎
?
我什麼都沒有做
唷!","// init NAME_BLANK, $13
What a joke!
They're asking everyone to chip in to cover the ¥30 million they lost!
Hide this!
That one too! Yeah!
Did you see anything? There's nothing here, buddy!","// init NAME_BLANK, $13
Quelle blague!
Ils demandent à tout le monde de participer pour rassembler les 30 millions de ¥ qu'on a perdu!
J'vais cacher ça!
Et ça aussi! Ah!
Qu'est-ce que tu regardes?
Y'a rien à voir ici!","// init NAME_BLANK, $13
Halah, yang benar saja!
Mereka ingin semua orang menyumbang untuk mengganti kehilangan ¥30 juta itu!
Sembunyikan itu!
Yang itu juga! Ya!
Kamu lihat sesuatu? Tidak ada barang di sini, bung!","","","","","","","",""
"0e","5a5a","","// init NAME_BLANK, $1b
真是傷腦筋，
莫名的停電。
看不到星獸的後
續新聞報導了。
話說回來了，
博特到電塔修理
了那麼久，
怎麼還沒有回來
呢?","// init NAME_BLANK, $1b
This inexplicable power outage has been a real pain!
I can't see the follow-up news reports on the Star Beast incidents.
By the way, why hasn't Burt come back from his trip to the power plant to fix the outage?","// init NAME_BLANK, $1b
Cette coupure de courant mystérieuse est une vraie plaie!
Je ne peux pas voir la suite des reportages sur les incidents liés aux Bêtoiles.
D'ailleurs, comment ça se fait que Burt ne soit pas revenu de la Centrale? Il devait remettre le courant.","// init NAME_BLANK, $1b
Mati listrik yang tak jelas ini benar-benar menyusahkan!
Saya tak bisa melihat berita-berita lanjutan tentang peristiwa Makhluk Bintang.
Omong-omong, mengapa Burt belum kembali dari gedung pembangkit listrik untuk memperbaiki kepadaman ini?","deepl
yes, it curses
google says Bot instead of Burt","","it doesn't *exactly* translate as ""a real PITA"", more like ""it hurts the brain"" which is a roughly equivalent statement but with way less vulgarity","","","","",""
"0e","5ac1","","// init NAME_1D, $1a
媽媽?
荳荳這台光速美
少女初號機，
要不要藏起來?
荳荳的光速美少
女初號機，
價值9456億
喲!","","","","See the _external spreadsheet","repoint_extern","","","","","",""
"0e","5b18","","// init NAME_BLANK, $13
不‧用!","","","","See the _external spreadsheet","repoint_extern","","","","","",""
"0e","5b22","","// init NAME_1D, $1a
荳‧荳‧要‧藏
‧起‧來‧啦!","","","","See the _external spreadsheet","repoint_extern","","","","","",""
"0e","5b43","","// init NAME_BLANK, $16
城裡停電了，
我兒子~博特到
發電塔修去了!
去了好久，
都沒有回來!
真是擔心啊⋯⋯","","","","See the _external spreadsheet","repoint_extern","","","","","",""
